"","Triad","Narration","Listener","OldOrNew","Transcript","Audience","Hedges","Rising Intonation","ID"
"83",1,2,2,"New","‘cause that one didn’t work",NA,NA,NA,"1-2-2-New"
"84",1,2,2,"New","so um he he takes a big rock",NA,NA,NA,"1-2-2-New"
"85",1,2,2,"New","and he ties a boxing glove to it attached to a spring?",NA,NA,"?","1-2-2-New"
"86",1,2,2,"New","and there’s a big like metal band around the uh the big rock",NA,"like",NA,"1-2-2-New"
"87",1,2,2,"New","so that when the roadrunner comes by",NA,NA,NA,"1-2-2-New"
"88",1,2,2,"New","he’s gonna punch him with the boxing glove then he",NA,NA,NA,"1-2-2-New"
"89",1,2,2,"New","so he pushes it all the way in",NA,NA,NA,"1-2-2-New"
"90",1,2,2,"New","he ties it with a clip",NA,NA,NA,"1-2-2-New"
"91",1,2,2,"New","as the roadrunner comes by",NA,NA,NA,"1-2-2-New"
"92",1,2,2,"New","he lets the clip go",NA,NA,NA,"1-2-2-New"
"93",1,2,2,"New","and the rock comes back",NA,NA,NA,"1-2-2-New"
"94",1,2,2,"New","and hits him knocks him into the cliff in the you know in the back",NA,"you know",NA,"1-2-2-New"
"95",1,2,2,"New","and the pun uh boxing glove comes back and hits him in the face",NA,NA,NA,"1-2-2-New"
"96",1,2,2,"New","um",NA,NA,NA,"1-2-2-New"
"97",1,2,2,"New","so he tries to think of a new plan and he gets out a blueprint with",NA,NA,NA,"1-2-2-New"
"98",1,2,2,"New","showing him ? and like an anvil ? and like there’s a",NA,"like, like","?, ?","1-2-2-New"
"99",1,2,2,"New","uh a tightrope that goes across two cliffs ? and a road underneath ?",NA,NA,"?, ?","1-2-2-New"
"100",1,2,2,"New","and he’s gonna drop an anvil from this tightrope on the roadrunner",NA,NA,NA,"1-2-2-New"
"101",1,2,2,"New","as he comes underneath",NA,NA,NA,"1-2-2-New"
"102",1,2,2,"New","so he picks up the anvil",NA,NA,NA,"1-2-2-New"
"103",1,2,2,"New","which is real heavy and everything",NA,"and everything",NA,"1-2-2-New"
"104",1,2,2,"New","and steps on the tightrope",NA,NA,NA,"1-2-2-New"
"105",1,2,2,"New","and the tightrope stretches all the way down to the ground",NA,NA,NA,"1-2-2-New"
"106",1,2,2,"New","so he’s just standing there on the ground with the anvil",NA,"just",NA,"1-2-2-New"
"107",1,2,2,"New","the roadrunner comes up",NA,NA,NA,"1-2-2-New"
"108",1,2,2,"New","and like you know puts his tongue out and like beeps in his face",NA,"like, you know, like",NA,"1-2-2-New"
"109",1,2,2,"New","and um the coyote like throws the anvil ? down the ground",NA,"like","?","1-2-2-New"
"110",1,2,2,"New","because he gets all mad ?",NA,NA,"?","1-2-2-New"
"111",1,2,2,"New","and he gets shot up into the air like a like a bow ’n arrow ?",NA,"like, like","?","1-2-2-New"
"112",1,2,2,"New","and um he he’s got like a good look on his face",NA,"like",NA,"1-2-2-New"
"113",1,2,2,"New","‘cause he’s got a backpack on",NA,NA,NA,"1-2-2-New"
"114",1,2,2,"New","so he’s like oh I’ll be fine I got a parachute",NA,"like",NA,"1-2-2-New"
"115",1,2,2,"New","so he pulls the string",NA,NA,NA,"1-2-2-New"
"116",1,2,2,"New","and all this stuff comes flying out of his backpack",NA,NA,NA,"1-2-2-New"
"117",1,2,2,"New","like apples and you know whatever",NA,"like, you know, whatever",NA,"1-2-2-New"
"118",1,2,2,"New","and he he grabs something that comes out of the bag",NA,NA,NA,"1-2-2-New"
"119",1,2,2,"New","and it was a bottle of aspirin ?",NA,NA,"?","1-2-2-New"
"120",1,2,2,"New","and he took a whole bunch of aspirin",NA,NA,NA,"1-2-2-New"
"121",1,2,2,"New","and just goes like you know",NA,"just, like, you know",NA,"1-2-2-New"
"122",1,2,2,"New","and falls to the ground",NA,NA,NA,"1-2-2-New"
"123",1,2,2,"New","and then um",NA,NA,NA,"1-2-2-New"
"124",1,2,2,"New","last thing you see is uh",NA,NA,NA,"1-2-2-New"
"125",1,2,2,"New","they’re chasing each other again",NA,NA,NA,"1-2-2-New"
"126",1,2,2,"New","and they run into a uh",NA,NA,NA,"1-2-2-New"
"127",1,2,2,"New","like the old cactus mine shaft ?",NA,"like","?","1-2-2-New"
"128",1,2,2,"New","and it’s like an abandoned mine shaft",NA,"like",NA,"1-2-2-New"
"129",1,2,2,"New","that they’re chasing each other through",NA,NA,NA,"1-2-2-New"
"130",1,2,2,"New","and uh the roadrunner’s got a hat on ?",NA,NA,"?","1-2-2-New"
"131",1,2,2,"New","that’s got a uh a green light ?",NA,NA,"?","1-2-2-New"
"132",1,2,2,"New","and the coyote’s got a hat on",NA,NA,NA,"1-2-2-New"
"133",1,2,2,"New","that’s got a red light?",NA,NA,"?","1-2-2-New"
"134",1,2,2,"New","so they like go to a cut scene",NA,"like",NA,"1-2-2-New"
"135",1,2,2,"New","where you see the whole maze and everything",NA,NA,NA,"1-2-2-New"
"136",1,2,2,"New","and you see the two lights chasing each other through",NA,NA,NA,"1-2-2-New"
"137",1,2,2,"New","and eventually the roadrunner loses the coyote",NA,NA,NA,"1-2-2-New"
"138",1,2,2,"New","and the coyote bounces all around like the whole thing",NA,"like",NA,"1-2-2-New"
"139",1,2,2,"New","and his light goes out",NA,NA,NA,"1-2-2-New"
"140",1,2,2,"New","and he lights a match",NA,NA,NA,"1-2-2-New"
"141",1,2,2,"New","and there’s a whole bunch of tnt and dynamite and stuff around him",NA,"and stuff",NA,"1-2-2-New"
"142",1,2,2,"New","and it goes to a cut scene where on on the top of the",NA,NA,NA,"1-2-2-New"
"143",1,2,2,"New","I guess where the mine shaft is",NA,"I guess",NA,"1-2-2-New"
"144",1,2,2,"New","there’s a whole bunch of cactuses ?",NA,NA,"?","1-2-2-New"
"145",1,2,2,"New","and you see them all like blow up and they come back down",NA,"like",NA,"1-2-2-New"
"146",1,2,2,"New","and it makes the word YIPE",NA,NA,NA,"1-2-2-New"
"147",1,2,2,"New","and then the cartoon’s over",NA,NA,NA,"1-2-2-New"
"148",1,3,1,"Old","okay",NA,NA,NA,"1-3-1-Old"
"149",1,3,1,"Old","so the cartoon starts out",NA,NA,NA,"1-3-1-Old"
"150",1,3,1,"Old","and you got the coyote chasing the roadrunner",NA,NA,NA,"1-3-1-Old"
"151",1,3,1,"Old","with a fork and a knife",NA,NA,NA,"1-3-1-Old"
"152",1,3,1,"Old","and it slows down",NA,NA,NA,"1-3-1-Old"
"153",1,3,1,"Old","and it gives them the Latin names underneath ?",NA,NA,"?","1-3-1-Old"
"154",1,3,1,"Old","you know you got uh",NA,"you know",NA,"1-3-1-Old"
"155",1,3,1,"Old","acceleratis maximus ? for thee uh road runner",NA,NA,"?","1-3-1-Old"
"156",1,3,1,"Old","and you got carnivorus uh vulgaris  for the coyote ?",NA,NA,"?","1-3-1-Old"
"157",1,3,1,"Old","um so the coyote swings out at him and misses ?",NA,NA,NA,"1-3-1-Old"
"158",1,3,1,"Old","and his fork and knife get stuck in the ground",NA,NA,NA,"1-3-1-Old"
"159",1,3,1,"Old","and so he’s trying to think of a new plan",NA,NA,NA,"1-3-1-Old"
"160",1,3,1,"Old","and he’s sitting there and",NA,NA,NA,"1-3-1-Old"
"161",1,3,1,"Old","he gets an idea",NA,NA,NA,"1-3-1-Old"
"162",1,3,1,"Old","so he ties a huge boxing glove to a attached to a spring",NA,NA,NA,"1-3-1-Old"
"163",1,3,1,"Old","on a metal belt around a rock","okay",NA,NA,"1-3-1-Old"
"164",1,3,1,"Old","and he puts a clip in it you know",NA,NA,NA,"1-3-1-Old"
"165",1,3,1,"Old","and he’s gonna let go of the clip",NA,NA,NA,"1-3-1-Old"
"166",1,3,1,"Old","and he’s gonna hit thee the roadrunner as he comes by",NA,NA,NA,"1-3-1-Old"
"167",1,3,1,"Old","but when he does",NA,NA,NA,"1-3-1-Old"
"168",1,3,1,"Old","the rock comes back and hits him",NA,NA,NA,"1-3-1-Old"
"169",1,3,1,"Old","knocks him against the wall",NA,NA,NA,"1-3-1-Old"
"170",1,3,1,"Old","the boxing glove comes and hits him in the face","okay",NA,NA,"1-3-1-Old"
"171",1,3,1,"Old","so that plan didn’t work",NA,NA,NA,"1-3-1-Old"
"172",1,3,1,"Old","um",NA,NA,NA,"1-3-1-Old"
"173",1,3,1,"Old","then he has a blueprint you see","okay",NA,NA,"1-3-1-Old"
"174",1,3,1,"Old","wh where he he shows himself with an anvil ?",NA,NA,"?","1-3-1-Old"
"175",1,3,1,"Old","and there’s a tightrope attached to two cliffs",NA,NA,NA,"1-3-1-Old"
"176",1,3,1,"Old","and there’s a road that runs underneath","mm-hmm",NA,NA,"1-3-1-Old"
"177",1,3,1,"Old","and he’s gonna drop the anvil from the tightrope on the roadrunner",NA,NA,NA,"1-3-1-Old"
"178",1,3,1,"Old","and you know he’s gonna get dinner I guess",NA,"you know, I guess",NA,"1-3-1-Old"
"179",1,3,1,"Old","and um when he picks the anvil",NA,NA,NA,"1-3-1-Old"
"180",1,3,1,"Old","it’s real heavy",NA,NA,NA,"1-3-1-Old"
"181",1,3,1,"Old","so when he steps onto the tightrope",NA,NA,NA,"1-3-1-Old"
"182",1,3,1,"Old","it just stretches all the way down to the ground",NA,"just",NA,"1-3-1-Old"
"183",1,3,1,"Old","the roadrunner comes up",NA,NA,NA,"1-3-1-Old"
"184",1,3,1,"Old","and he beeps in his face",NA,NA,NA,"1-3-1-Old"
"185",1,3,1,"Old","and makes him all angry",NA,NA,NA,"1-3-1-Old"
"186",1,3,1,"Old","so he throws the anvil down",NA,NA,NA,"1-3-1-Old"
"187",1,3,1,"Old","but it shoots him like a bow ’n arrow up into the sky","okay",NA,NA,"1-3-1-Old"
"188",1,3,1,"Old","and as he goes up into the sky he doesn’t look worried or anything",NA,NA,NA,"1-3-1-Old"
"189",1,3,1,"Old","because he’s got his backpack on",NA,NA,NA,"1-3-1-Old"
"190",1,3,1,"Old","that I guess is supposed to be a parachute","okay","I guess",NA,"1-3-1-Old"
"191",1,3,1,"Old","but when he he pulls the l the string",NA,NA,NA,"1-3-1-Old"
"192",1,3,1,"Old","like an apple comes out and a sandwich comes out",NA,"like",NA,"1-3-1-Old"
"193",1,3,1,"Old","and he grabs something that comes out",NA,NA,NA,"1-3-1-Old"
"194",1,3,1,"Old","there’s a bottle of aspirin",NA,NA,NA,"1-3-1-Old"
"195",1,3,1,"Old","he takes a bunch of aspirin",NA,NA,NA,"1-3-1-Old"
"196",1,3,1,"Old","and goes like this",NA,NA,NA,"1-3-1-Old"
"197",1,3,1,"Old","and hits the ground",NA,NA,NA,"1-3-1-Old"
"198",1,3,1,"Old","um",NA,NA,NA,"1-3-1-Old"
"199",1,3,1,"Old","the last scene that you see is when",NA,NA,NA,"1-3-1-Old"
"200",1,3,1,"Old","he is chasing the roadrunner again",NA,NA,NA,"1-3-1-Old"
"201",1,3,1,"Old","and they go into like the old cactus mine shaft",NA,"like",NA,"1-3-1-Old"
"202",1,3,1,"Old","it’s like an abandoned mine shaft",NA,"like",NA,"1-3-1-Old"
"203",1,3,1,"Old","and uh the roadrunner puts on a a hat",NA,NA,NA,"1-3-1-Old"
"204",1,3,1,"Old","that’s got a green light on it ?",NA,NA,"?","1-3-1-Old"
"205",1,3,1,"Old","and they coyote’s got one with a red light on it ?",NA,NA,"?","1-3-1-Old"
"206",1,3,1,"Old","and they’re chasing each other through the mine shaft",NA,NA,NA,"1-3-1-Old"
"207",1,3,1,"Old","it goes through a cut scene where you see like the mine shafting lines ?",NA,"like","?","1-3-1-Old"
"208",1,3,1,"Old","and you see like the lights chasing each other through ?",NA,"like","?","1-3-1-Old"
"209",1,3,1,"Old","and eventually uh the road runner loses the coyote","okay",NA,NA,"1-3-1-Old"
"210",1,3,1,"Old","and he kinda bounces around in like this one place",NA,"kinda, like",NA,"1-3-1-Old"
"211",1,3,1,"Old","and his light goes out ‘cause he’s",NA,NA,NA,"1-3-1-Old"
"212",1,3,1,"Old","he’s getting all knocked out around and everything",NA,NA,NA,"1-3-1-Old"
"213",1,3,1,"Old","he lights a match",NA,NA,NA,"1-3-1-Old"
"214",1,3,1,"Old","and there’s all this dynamite and tnt all around him",NA,NA,NA,"1-3-1-Old"
"215",1,3,1,"Old","and it goes to this scene where you see the cactuses",NA,NA,NA,"1-3-1-Old"
"216",1,3,1,"Old","I guess above of where he is ?",NA,"I guess","?","1-3-1-Old"
"217",1,3,1,"Old","and it all blows up",NA,NA,NA,"1-3-1-Old"
"218",1,3,1,"Old","and the cactuses come back down and it makes the word YIPE",NA,NA,NA,"1-3-1-Old"
"219",1,3,1,"Old","and the cartoon’s over",NA,NA,NA,"1-3-1-Old"
"220",10,1,1,"New","okaysoo",NA,NA,NA,"10-1-1-New"
"221",10,1,1,"New","thee coyote is chasing after the roadrunner",NA,NA,NA,"10-1-1-New"
"222",10,1,1,"New","and the coyote is wearing a bib",NA,NA,NA,"10-1-1-New"
"223",10,1,1,"New","and he’s holding a knife and a fork",NA,NA,NA,"10-1-1-New"
"224",10,1,1,"New","’cause he wants to eat thee roadrunner",NA,NA,NA,"10-1-1-New"
"225",10,1,1,"New","soo he’s running after the roadrunner",NA,NA,NA,"10-1-1-New"
"226",10,1,1,"New","aand he lunges forward trying to capture him",NA,NA,NA,"10-1-1-New"
"227",10,1,1,"New","but hee misses",NA,NA,NA,"10-1-1-New"
"228",10,1,1,"New","the roadrunner is too fast for him",NA,NA,NA,"10-1-1-New"
"229",10,1,1,"New","so he he k",NA,NA,NA,"10-1-1-New"
"230",10,1,1,"New","the roadrunner keeps going",NA,NA,NA,"10-1-1-New"
"231",10,1,1,"New","and so the coyote thinks",NA,NA,NA,"10-1-1-New"
"232",10,1,1,"New","okay how am I gonna get the roadrunner ?",NA,NA,NA,"10-1-1-New"
"233",10,1,1,"New","so the area the area that they’re in",NA,NA,NA,"10-1-1-New"
"234",10,1,1,"New","is really like mountainous ?",NA,"like","?","10-1-1-New"
"235",10,1,1,"New","and there’s lots of cliffs ?",NA,NA,"?","10-1-1-New"
"236",10,1,1,"New","soo thee coyote",NA,NA,NA,"10-1-1-New"
"237",10,1,1,"New","hee goes up to an area where he’s on an edge of a cliff",NA,NA,NA,"10-1-1-New"
"238",10,1,1,"New","aand then there’s like a space",NA,"like",NA,"10-1-1-New"
"239",10,1,1,"New","and then there’s a cliff on the other side",NA,NA,NA,"10-1-1-New"
"240",10,1,1,"New","like in front of him ?","uh-huh","like","?","10-1-1-New"
"241",10,1,1,"New","and between them down below",NA,NA,NA,"10-1-1-New"
"242",10,1,1,"New","there’s a path where the roadrunner is gonna run ?","mm-hmm",NA,"?","10-1-1-New"
"243",10,1,1,"New","so what the coyote does is",NA,NA,NA,"10-1-1-New"
"244",10,1,1,"New","he puts um like a rope",NA,"like",NA,"10-1-1-New"
"245",10,1,1,"New","um attaching both cliffs ?","mm-hmm",NA,"?","10-1-1-New"
"246",10,1,1,"New","and then he gets an anvil",NA,NA,NA,"10-1-1-New"
"247",10,1,1,"New","and he w he starts to walk across the rope",NA,NA,NA,"10-1-1-New"
"248",10,1,1,"New","with the anvil",NA,NA,NA,"10-1-1-New"
"249",10,1,1,"New","aand but the rope bends down so low",NA,NA,NA,"10-1-1-New"
"250",10,1,1,"New","that he he’s practically on the ground",NA,NA,NA,"10-1-1-New"
"251",10,1,1,"New","so when the",NA,NA,NA,"10-1-1-New"
"252",10,1,1,"New","when the roadrunner comes up to him",NA,NA,NA,"10-1-1-New"
"253",10,1,1,"New","he sees the coyote with the anvil",NA,NA,NA,"10-1-1-New"
"254",10,1,1,"New","and he just turns around",NA,"just",NA,"10-1-1-New"
"255",10,1,1,"New","and he’s so fast that",NA,NA,NA,"10-1-1-New"
"256",10,1,1,"New","thee coyote didn’t have time to drop the anvil on",NA,NA,NA,"10-1-1-New"
"257",10,1,1,"New","the roadrunner ?","mm-hmm mm-hmm",NA,"?","10-1-1-New"
"258",10,1,1,"New","so when he dropped it",NA,NA,NA,"10-1-1-New"
"259",10,1,1,"New","he missed the roadrunner",NA,NA,NA,"10-1-1-New"
"260",10,1,1,"New","and when he dropped the anvil",NA,NA,NA,"10-1-1-New"
"261",10,1,1,"New","he shot back up into the air",NA,NA,NA,"10-1-1-New"
"262",10,1,1,"New","because he didn’t have weight holding him down anymore ?","mm-hmm mm-hmm",NA,"?","10-1-1-New"
"263",10,1,1,"New","so he sh he shot back up into the air",NA,NA,NA,"10-1-1-New"
"264",10,1,1,"New","and then he was wearing a book bag",NA,NA,NA,"10-1-1-New"
"265",10,1,1,"New","um it was supposed to be a parachute",NA,NA,NA,"10-1-1-New"
"266",10,1,1,"New","so he pulled the string of his parachute",NA,NA,NA,"10-1-1-New"
"267",10,1,1,"New","and everything came out of his book bag",NA,NA,NA,"10-1-1-New"
"268",10,1,1,"New","but there was no parachute",NA,NA,NA,"10-1-1-New"
"269",10,1,1,"New","there was no like balloon part",NA,"like",NA,"10-1-1-New"
"270",10,1,1,"New","so he just ends up falling to the ground",NA,"just",NA,"10-1-1-New"
"271",10,1,1,"New","and then he sees the roadrunner",NA,NA,NA,"10-1-1-New"
"272",10,1,1,"New","uh run into a mine",NA,NA,NA,"10-1-1-New"
"273",10,1,1,"New","so he follows the roadrunner into the mine",NA,NA,NA,"10-1-1-New"
"274",10,1,1,"New","and they’re going in circles for a bit",NA,NA,NA,"10-1-1-New"
"275",10,1,1,"New","and then um there’s",NA,NA,NA,"10-1-1-New"
"276",10,1,1,"New","after they go in circles there’s kind of a zigzag pa",NA,"kind of",NA,"10-1-1-New"
"277",10,1,1,"New","zigzag path ?","mm-hmm",NA,"?","10-1-1-New"
"278",10,1,1,"New","and the coyote is still following the roadrunner",NA,NA,NA,"10-1-1-New"
"279",10,1,1,"New","and at the end of the zigzag path",NA,NA,NA,"10-1-1-New"
"280",10,1,1,"New","there it um it ends in like",NA,"like",NA,"10-1-1-New"
"281",10,1,1,"New","it splits? into two paths ?","mm-hmm",NA,"?, ?","10-1-1-New"
"282",10,1,1,"New","and the roadrunner takes the top path",NA,NA,NA,"10-1-1-New"
"283",10,1,1,"New","and the coyote takes the bottom path",NA,NA,NA,"10-1-1-New"
"284",10,1,1,"New","and so the the coyote’s going along the bottom path",NA,NA,NA,"10-1-1-New"
"285",10,1,1,"New","and then it gets really dark and he can’t see anymore","mm-hmm",NA,NA,"10-1-1-New"
"286",10,1,1,"New","so he lights a match",NA,NA,NA,"10-1-1-New"
"287",10,1,1,"New","so he could see where he is",NA,NA,NA,"10-1-1-New"
"288",10,1,1,"New","aand then you see him sitting there with the match",NA,NA,NA,"10-1-1-New"
"289",10,1,1,"New","and there’s like a whole bunch of TNT around him ?",NA,"like","?","10-1-1-New"
"290",10,1,1,"New","so then that explodes and that’s the end of him",NA,NA,NA,"10-1-1-New"
"291",10,1,1,"New","and then um you see above the ground",NA,NA,NA,"10-1-1-New"
"292",10,1,1,"New","it says YIPE ?",NA,NA,NA,"10-1-1-New"
"293",10,1,1,"New","and then that’s it",NA,NA,NA,"10-1-1-New"
"294",10,2,1,"Old","okay so",NA,NA,NA,"10-2-1-Old"
"295",10,2,1,"Old","the coyote is going after the roadrunner ",NA,NA,NA,"10-2-1-Old"
"296",10,2,1,"Old","aand the coyote is wearing a bib",NA,NA,NA,"10-2-1-Old"
"297",10,2,1,"Old","and holding a knife and a fork",NA,NA,NA,"10-2-1-Old"
"298",10,2,1,"Old","aand he’s he’s running after the roadrunner",NA,NA,NA,"10-2-1-Old"
"299",10,2,1,"Old","and he lunges forward to try and get him",NA,NA,NA,"10-2-1-Old"
"300",10,2,1,"Old","but he misses",NA,NA,NA,"10-2-1-Old"
"301",10,2,1,"Old","’cause the roadrunner is too fast ",NA,NA,NA,"10-2-1-Old"
"302",10,2,1,"Old","and he just takes off",NA,"just",NA,"10-2-1-Old"
"303",10,2,1,"Old","so now the coyote is thinking",NA,NA,NA,"10-2-1-Old"
"304",10,2,1,"Old","okay how am I gonna get this roadrunner ? ",NA,NA,NA,"10-2-1-Old"
"305",10,2,1,"Old","soo he knows the roadrunner’s path",NA,NA,NA,"10-2-1-Old"
"306",10,2,1,"Old","where he’s running ?",NA,NA,"?","10-2-1-Old"
"307",10,2,1,"Old","so he goes to a cliff",NA,NA,NA,"10-2-1-Old"
"308",10,2,1,"Old","that’s above the roadrunner’s path ",NA,NA,NA,"10-2-1-Old"
